Asset ID,Asset Class,Park ID,Park Name,Asset Type,Asset Size,Primary Field,Location,Installation Date,Asset Description,Geometry Type,Point,Line,Polygon
106798,BBQ,1416,Little Mountain Park,PIT,N/A,N/A,"(49.954610071945716, -97.24159850553576)",,,POINT,POINT (-97.241598505536 49.954610071946),,
1138,SPORT COURT,165,Burton Cummings C.C,TENNIS,DOUBLE,Yes,"(49.90625423447101, -97.16751140265224)",,,POLYGON,,,"MULTIPOLYGON (((-97.167506392345 49.906371957131, -97.167652083369 49.906179554788, -97.167515314893 49.906136511811, -97.167370721936 49.906328238443, -97.167506392345 49.906371957131)))"
113678,SEATING,4003,Fraipont Park,ROCK,N/A,N/A,"(49.82471752103799, -97.06291282652666)",,,POINT,POINT (-97.062912826527 49.824717521038),,
113682,SEATING,4003,Fraipont Park,ROCK,N/A,N/A,"(49.82478969698493, -97.06284599947105)",,,POINT,POINT (-97.062845999471 49.824789696985),,
114841,MONUMENT,132,Vimy Ridge Memorial Park,STATUE,N/A,N/A,"(49.88586643864439, -97.16701325790055)",06/11/2021 12:00:00 AM,,POINT,POINT (-97.167013257901 49.885866438644),,
119754,BBQ,654,La Barriere Park,SWIVEL,N/A,N/A,"(49.721307898642664, -97.17360143580507)",,,POINT,POINT (-97.173601435805 49.721307898643),,
120245,STAND-ALONE PLAY COMPONENT,665,Waterfront Park,N/A,N/A,N/A,"(49.83860714415654, -97.06010397442773)",,,POINT,POINT (-97.060103974428 49.838607144157),,
120312,SEATING,1037,Sun Valley Park North,ROCK,N/A,N/A,"(49.938996676551696, -97.04846477980348)",,,POINT,POINT (-97.048464779803 49.938996676552),,
120250,STAND-ALONE PLAY COMPONENT,665,Waterfront Park,N/A,N/A,N/A,"(49.838660839688146, -97.06027327531068)",,,POINT,POINT (-97.060273275311 49.838660839688),,
120304,SEATING,1037,Sun Valley Park North,ROCK,N/A,N/A,"(49.93894035013686, -97.04848284986775)",,,POINT,POINT (-97.048482849868 49.938940350137),,
120308,SEATING,1037,Sun Valley Park North,ROCK,N/A,N/A,"(49.9390179382669, -97.04839898938275)",,,POINT,POINT (-97.048398989383 49.939017938267),,
120244,STAND-ALONE PLAY COMPONENT,665,Waterfront Park,N/A,N/A,N/A,"(49.83859804097146, -97.06010751911364)",,,POINT,POINT (-97.060107519114 49.838598040971),,
120300,SEATING,1037,Sun Valley Park North,ROCK,N/A,N/A,"(49.9388878299122, -97.04854200612772)",,,POINT,POINT (-97.048542006128 49.938887829912),,
120380,SEATING,1451,Matt Jonsson Memorial Skatepark,BENCH,N/A,N/A,"(49.894421665302694, -97.27840670944767)",,,POINT,POINT (-97.278406709448 49.894421665303),,
120251,PLAY STRUCTURE,665,Waterfront Park,5 TO 12,LARGE,N/A,"(49.838650261312566, -97.06018869650752)",,,POINT,POINT (-97.060188696508 49.838650261313),,
120306,SEATING,1037,Sun Valley Park North,ROCK,N/A,N/A,"(49.9389816084076, -97.04844432988354)",,,POINT,POINT (-97.048444329884 49.938981608408),,
120574,ICE SKATING SURFACE,4100,Eaglewood Park,PLEASURE RINK,N/A,N/A,"(49.78002671138121, -97.19687877391576)",,,POLYGON,,,"MULTIPOLYGON (((-97.197082831887 49.780113277647, -97.196936111861 49.779876061725, -97.196674715945 49.779941492299, -97.196821165265 49.780177361038, -97.197082831887 49.780113277647)))"
120638,BBQ,654,La Barriere Park,SWIVEL,N/A,N/A,"(49.720764509130326, -97.17478418019745)",,,POINT,POINT (-97.174784180197 49.72076450913),,
120527,SEATING,1070,Kirkbridge Park,ROCK,N/A,N/A,"(49.790626357533114, -97.16242915040539)",,,POINT,POINT (-97.162429150405 49.790626357533),,
120678,SEATING,244,Living Prairie Museum,ROCK,N/A,N/A,"(49.889178409969304, -97.27281565384749)",,,POINT,POINT (-97.272815653847 49.889178409969),,
120532,SEATING,1070,Kirkbridge Park,ROCK,N/A,N/A,"(49.79060361421822, -97.16236987183238)",,,POINT,POINT (-97.162369871832 49.790603614218),,
120635,BBQ,654,La Barriere Park,SWIVEL,N/A,N/A,"(49.72005460539052, -97.17425427530557)",,,POINT,POINT (-97.174254275306 49.720054605391),,
120573,ICE SKATING SURFACE,54,Cedar Ranch Park,PLEASURE RINK,N/A,N/A,"(49.890428732365336, -97.03424424944617)",,,POLYGON,,,"MULTIPOLYGON (((-97.034345329852 49.890519324637, -97.03435843282 49.890343370824, -97.034140727365 49.890338140094, -97.034130066072 49.890512596642, -97.034345329852 49.890519324637)))"
120523,SEATING,1070,Kirkbridge Park,ROCK,N/A,N/A,"(49.790675309187726, -97.16231095538)",,,POINT,POINT (-97.16231095538 49.790675309188),,
